n_number,first_name,last_name,email,gpa,grad_year,street,city,state,postal_code
N69367,Germayne,Summersby,gsummersby0@nyu.edu,0.853,2024,47329 Glacier Hill Drive,Portsmouth,VA,23705
N60829,Joann,Gellett,jgellett1@nyu.edu,0.102,2023,0658 Arapahoe Pass,Louisville,KY,40266
N50434,Josey,Poundford,jpoundford2@nyu.edu,1.466,2025,9 Huxley Park,Albany,NY,12232
N65334,Leighton,Runsey,lrunsey3@nyu.edu,1.168,2027,27 Macpherson Avenue,San Francisco,CA,94177
N47787,Hephzibah,Bemrose,hbemrose4@nyu.edu,1.93,2024,519 Nova Drive,Lima,OH,45807
N61638,Cori,Haselhurst,chaselhurst5@nyu.edu,3.886,2027,08 Lakewood Center,Troy,MI,48098
N50023,Loise,Van Velden,lvanvelden6@nyu.edu,2.829,2023,76438 Hermina Hill,Saint Petersburg,FL,33715
N43151,Lindy,Haffner,lhaffner7@nyu.edu,3.062,2024,6 Melrose Trail,Philadelphia,PA,19196
N47613,Chandra,Keneleyside,ckeneleyside8@nyu.edu,1.469,2024,7 Scoville Way,Roanoke,VA,24034
N70164,Margot,Jeannenet,mjeannenet9@nyu.edu,2.266,2024,9 Huxley Plaza,Kansas City,MO,64125
N42114,Coralie,Churchin,cchurchina@nyu.edu,0.556,2027,460 Miller Parkway,Atlanta,GA,30343
N79364,Mela,Tweedlie,mtweedlieb@nyu.edu,2.847,2023,40491 Maple Parkway,Mobile,AL,36689
N40702,Caldwell,Carthy,ccarthyc@nyu.edu,1.359,2026,0 Linden Plaza,Topeka,KS,66606
N41394,Jodee,Cess,jcessd@nyu.edu,2.911,2025,5 Birchwood Road,Dayton,OH,45454
N44395,Merline,Brookwood,mbrookwoode@nyu.edu,1.176,2026,07 Victoria Road,Las Vegas,NV,89140
N69348,Alastair,Atwel,aatwelf@nyu.edu,3.119,2026,092 4th Road,Washington,DC,20508
N71158,Spense,Duthie,sduthieg@nyu.edu,2.67,2026,956 Continental Alley,Springfield,MO,65805
N51872,Freemon,Fulleylove,ffulleyloveh@nyu.edu,2.625,2027,01 Anthes Avenue,Moreno Valley,CA,92555
